id,listing_url,host_id,host_url,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,zipcode,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,license,jurisdiction_names,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
1686930,https://www.airbnb.com/rooms/1686930,8916363,https://www.airbnb.com/users/show/8916363,9/18/13,within an hour,100%,100%,f,1,1,t,f,98119,47.62981553,-122.3662123,t,Apartment,Entire home/apt,4,1,2,2,Real Bed,,159.00,,,250.00,99.00,1,$0.00 ,1,1125,t,11,38,68,309,1/4/16,62,10/8/13,12/7/15,97,10,10,10,10,10,9,f,,WASHINGTON,f,strict,f,f,1,2.27
7680289,https://www.airbnb.com/rooms/7680289,40335071,https://www.airbnb.com/users/show/40335071,8/2/15,within an hour,100%,100%,f,2,2,t,t,98119,47.63981019,-122.3738006,t,Apartment,Entire home/apt,4,1,1,2,Real Bed,,125.00,800.00,2700.00,,50.00,2,$25.00 ,2,365,t,30,60,90,353,1/4/16,19,8/27/15,11/29/15,95,10,10,10,10,10,10,f,,WASHINGTON,t,moderate,f,f,2,4.35
7207641,https://www.airbnb.com/rooms/7207641,6544973,https://www.airbnb.com/users/show/6544973,5/23/13,within a day,50%,N/A,f,1,1,t,t,98119,47.63556952,-122.3616526,t,House,Entire home/apt,8,3,3,3,Real Bed,,348.00,2500.00,,750.00,150.00,6,$20.00 ,3,1125,t,0,0,0,153,1/4/16,5,8/4/15,9/3/15,96,10,10,10,10,10,9,f,,WASHINGTON,f,strict,f,f,1,0.97
5062445,https://www.airbnb.com/rooms/5062445,21072725,https://www.airbnb.com/users/show/21072725,9/8/14,a few days or more,31%,100%,f,1,1,t,f,98119,47.63497873,-122.3588694,t,House,Private room,1,1,1,1,Futon,,45.00,450.00,1500.00,,,1,$0.00 ,1,1125,t,28,58,88,363,1/4/16,7,5/17/15,12/8/15,97,9,8,10,10,10,10,f,,WASHINGTON,f,flexible,f,f,1,0.9
8925878,https://www.airbnb.com/rooms/8925878,40335071,https://www.airbnb.com/users/show/40335071,8/2/15,within an hour,100%,100%,f,2,2,t,t,98119,47.6393621,-122.3724026,t,Apartment,Entire home/apt,4,1,1,2,Real Bed,,150.00,950.00,2950.00,,50.00,2,$25.00 ,2,365,t,16,46,76,351,1/4/16,2,10/25/15,12/18/15,100,10,10,10,10,10,10,f,,WASHINGTON,t,moderate,f,f,2,0.83
6389657,https://www.airbnb.com/rooms/6389657,2052160,https://www.airbnb.com/users/show/2052160,4/2/12,within a few hours,100%,100%,t,1,1,t,t,98109,47.63461628,-122.3580227,t,Apartment,Entire home/apt,2,1,0,1,Real Bed,,80.00,,,,20.00,1,$0.00 ,3,1125,t,12,38,40,201,1/4/16,11,7/22/15,8/19/15,98,10,10,10,10,10,10,f,,WASHINGTON,f,flexible,f,f,1,1.98
4218733,https://www.airbnb.com/rooms/4218733,21896205,https://www.airbnb.com/users/show/21896205,9/28/14,within an hour,100%,100%,f,1,1,t,t,98119,47.63800138,-122.3610048,t,Apartment,Entire home/apt,4,1,1,2,Real Bed,,110.00,,,100.00,40.00,2,$15.00 ,2,1125,t,19,46,76,351,1/4/16,71,10/9/14,1/1/16,90,10,8,10,10,10,9,f,,WASHINGTON,f,moderate,f,f,1,4.7
2715623,https://www.airbnb.com/rooms/2715623,8242272,https://www.airbnb.com/users/show/8242272,8/18/13,within a few hours,100%,100%,f,1,1,t,t,98119,47.63199585,-122.3716577,t,House,Entire home/apt,3,1,1,2,Real Bed,,148.00,,,,100.00,2,$20.00 ,3,365,t,0,13,43,310,1/4/16,9,6/2/14,10/29/15,91,9,10,9,9,10,10,f,,WASHINGTON,f,strict,t,t,1,0.46
1392332,https://www.airbnb.com/rooms/1392332,2315558,https://www.airbnb.com/users/show/2315558,5/7/12,N/A,N/A,N/A,f,1,1,t,t,98119,47.63868624,-122.3707999,t,House,Entire home/apt,4,1.5,2,2,Real Bed,,350.00,2100.00,,500.00,100.00,4,$0.00 ,2,30,t,0,3,33,308,1/4/16,41,7/29/13,7/31/15,98,10,10,10,10,10,9,f,,WASHINGTON,f,moderate,f,f,1,1.38
7308567,https://www.airbnb.com/rooms/7308567,17597607,https://www.airbnb.com/users/show/17597607,7/3/14,within an hour,100%,100%,t,1,1,t,t,98119,47.63365004,-122.3604497,t,Apartment,Entire home/apt,3,1.5,1,2,Real Bed,,150.00,,,,50.00,1,$0.00 ,2,1125,t,8,34,64,339,1/4/16,18,7/28/15,12/31/15,98,10,10,10,10,10,10,f,,WASHINGTON,f,moderate,f,f,1,3.35
